169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:55 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:57 -0800] "GET /project3/search HTTP/1.1" 200 2041
169.234.97.101 - - [04/Mar/2018:12:55:57 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:57 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:57 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:55:57 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/run_search?title=good+day&year=&director=&starName=&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/movie_list HTTP/1.1" 200 4423
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:07 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:16 -0800] "GET /project3/Autocompletion?query=goo HTTP/1.1" 200 3211
169.234.97.101 - - [04/Mar/2018:12:56:16 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/run_search?hero=Good&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/movie_list HTTP/1.1" 200 2332
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:20 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:12:56:23 -0800] "GET /project3/Autocompletion?query=good HTTP/1.1" 200 3231
169.234.97.101 - - [04/Mar/2018:12:56:23 -0800] "GET /project3/run_search?hero=good&submit=Search HTTP/1.1" 302 -
